title,year,gross_2013,budget_2013,roi,binary,clean_test
21 & Over,2013,67878146,13000000,5.221395846153846,FAIL,notalk
Dredd 3D,2012,55078343,45658735,1.2063046205726025,PASS,ok
12 Years a Slave,2013,211714070,20000000,10.5857035,FAIL,notalk
2 Guns,2013,208105475,61000000,3.4115651639344264,FAIL,notalk
42,2013,190040426,40000000,4.75101065,FAIL,men
47 Ronin,2013,184166317,225000000,0.8185169644444444,FAIL,men
A Good Day to Die Hard,2013,371598396,92000000,4.039113,FAIL,notalk
About Time,2013,102648667,12000000,8.554055583333334,PASS,ok
Admission,2013,36014634,13000000,2.7703564615384617,PASS,ok
After Earth,2013,304895295,130000000,2.3453484230769233,FAIL,notalk
American Hustle,2013,397915817,40000000,9.947895425,PASS,ok
August: Osage County,2013,87609748,25000000,3.50438992,PASS,ok
Beautiful Creatures,2013,75392809,50000000,1.50785618,PASS,ok
Blue Jasmine,2013,101793664,18000000,5.6552035555555555,PASS,ok
Captain Phillips,2013,325879987,55000000,5.925090672727273,FAIL,notalk
Carrie,2013,120268278,30000000,4.0089426,PASS,ok
Cloudy with a Chance of Meatballs 2,2013,391365712,78000000,5.017509128205128,FAIL,nowomen
Despicable Me 2,2013,1338831390,76000000,17.6162025,PASS,ok
Don Jon,2013,50855408,5500000,9.246437818181818,FAIL,dubious
Elysium,2013,379242208,120000000,3.1603517333333335,PASS,ok
Ender's Game,2013,151474382,110000000,1.3770398363636365,FAIL,men
Epic,2013,375937364,100000000,3.75937364,PASS,ok
Escape from Planet Earth,2013,123467788,40000000,3.0866947,PASS,ok
Escape Plan,2013,129026206,70000000,1.8432315142857143,FAIL,men
Evil Dead,2013,151641905,17000000,8.920112058823529,PASS,ok
Fast and Furious 6,2013,1026807972,160000000,6.417549825,PASS,ok
Frozen,2013,1397600228,150000000,9.317334853333334,PASS,ok
G.I. Joe: Retaliation,2013,494446120,140000000,3.531758,PASS,ok
Gangster Squad,2013,150101806,60000000,2.5016967666666665,FAIL,notalk
Gloria,2013,9134986,30000000,0.30449953333333335,PASS,ok
Gravity,2013,980529592,110000000,8.913905381818182,FAIL,nowomen
Grown Ups 2,2013,380692333,80000000,4.7586541625,FAIL,men
Hansel & Gretel: Witch Hunters,2013,281406950,50000000,5.628139,PASS,ok
Her,2013,58029891,23000000,2.5230387391304347,FAIL,men
Identity Thief,2013,310776641,35000000,8.8793326,FAIL,men
Insidious: Chapter 2,2013,245497669,5000000,49.0995338,FAIL,men
Iron Man 3,2013,1621684544,200000000,8.10842272,FAIL,dubious
Jack the Giant Slayer,2013,262575206,195000000,1.3465395179487178,FAIL,nowomen
Kick-Ass 2,2013,89635182,28000000,3.2012565,PASS,ok
Last Vegas,2013,176828334,28000000,6.315297642857143,FAIL,notalk
Lee Daniels' The Butler,2013,268145524,30000000,8.938184133333333,PASS,ok
Machete Kills,2013,17416322,2000000,8.708161,PASS,ok
Mama,2013,219669433,15000000,14.644628866666666,PASS,ok
Man of Steel,2013,979045036,225000000,4.351311271111111,PASS,ok
Nebraska,2013,34965034,12000000,2.913752833333333,PASS,ok
Now You See Me,2013,469447978,75000000,6.259306373333334,FAIL,notalk
Oblivion,2013,376645218,120000000,3.13871015,FAIL,men
Olympus Has Fallen,2013,249489756,70000000,3.5641393714285714,FAIL,notalk
Oz the Great and Powerful,2013,724341992,200000000,3.62170996,PASS,ok
Pacific Rim,2013,512805812,190000000,2.698977957894737,FAIL,notalk
Pain & Gain,2013,131150582,26000000,5.044253153846154,FAIL,notalk
Parker,2013,63963292,35000000,1.8275226285714286,PASS,ok
Peeples,2013,18354130,15000000,1.2236086666666666,FAIL,dubious
Percy Jackson: Sea of Monsters,2013,269419108,90000000,2.9935456444444446,PASS,ok
Prisoners,2013,174404604,46000000,3.7914044347826086,PASS,ok
R.I.P.D.,2013,112638802,130000000,0.8664523230769231,FAIL,notalk
Red 2,2013,190425120,84000000,2.2669657142857145,PASS,ok
Riddick,2013,134450270,38000000,3.538165,FAIL,notalk
Runner Runner,2013,81933292,30000000,2.731109733333333,FAIL,nowomen
Rush,2013,69995248,38000000,1.8419802105263159,FAIL,notalk
Safe Haven,2013,165342743,28000000,5.905097964285714,PASS,ok
Saving Mr. Banks,2013,183568664,35000000,5.244818971428572,PASS,ok
Side Effects,2013,92461120,30000000,3.0820373333333335,PASS,ok
Star Trek Into Darkness,2013,695757322,190000000,3.661880642105263,FAIL,notalk
