SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,1.753653445,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,1.969634797,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1995,1995,PC,Percentage,0,Units,,,4.6277666,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1996,1996,PC,Percentage,0,Units,,,2.615384615,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1997,1997,PC,Percentage,0,Units,,,0.224887556,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1998,1998,PC,Percentage,0,Units,,,0.86013463,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,1999,1999,PC,Percentage,0,Units,,,1.483129403,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2000,2000,PC,Percentage,0,Units,,,4.457435148,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2001,2001,PC,Percentage,0,Units,,,4.407135362,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2002,2002,PC,Percentage,0,Units,,,2.981574539,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2003,2003,PC,Percentage,0,Units,,,2.732595966,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2004,2004,PC,Percentage,0,Units,,,2.343255225,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2005,2005,PC,Percentage,0,Units,,,2.691831683,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2006,2006,PC,Percentage,0,Units,,,3.555287737,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2007,2007,PC,Percentage,0,Units,,,2.327611289,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2008,2008,PC,Percentage,0,Units,,,4.35029855,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2009,2009,PC,Percentage,0,Units,,,1.771117166,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2010,2010,PC,Percentage,0,Units,,,2.918340027,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2011,2011,PC,Percentage,0,Units,,,3.303850156,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2012,2012,PC,Percentage,0,Units,,,1.762780156,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2013,2013,PC,Percentage,0,Units,,,2.449888641,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2014,2014,PC,Percentage,0,Units,,,2.487922705,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2015,2015,PC,Percentage,0,Units,,,1.508366722,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2016,2016,PC,Percentage,0,Units,,,1.276990945,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2017,2017,PC,Percentage,0,Units,,,1.948647409,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2018,2018,PC,Percentage,0,Units,,,1.911400944,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2019,2019,PC,Percentage,0,Units,,,1.610767873,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2020,2020,PC,Percentage,0,Units,,,0.846905537,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2021,2021,PC,Percentage,0,Units,,,2.863910422,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2022,2022,PC,Percentage,0,Units,,,6.594096713,,
CPALTT01,Consumer prices: all items,AUS,Australia,GP,Growth previous period,A,Annual,2023,2023,PC,Percentage,0,Units,,,5.597014925,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,1993,1993,PC,Percentage,0,Units,,,3.631785544,,
CPALTT01,Consumer prices: all items,AUT,Austria,GP,Growth previous period,A,Annual,1994,1994,PC,Percentage,0,Units,,,2.953406524,,
