county,state_abb,state_name,land_area_m2,land_area_mi2,population,density
Halifax,NC,North Carolina,1874472930,723.7380444962738,48622,67.18176606819283
Union,NC,North Carolina,1638778990,632.7361054950944,238267,376.56615124493993
New Hanover,NC,North Carolina,497937486,192.2547381887402,225702,1173.9736670543016
Sampson,NC,North Carolina,2449946536,945.9296459859038,59036,62.41056113477572
Carteret,NC,North Carolina,1314689449,507.6044341377305,67686,133.34398883843176
Wake,NC,North Carolina,2161570492,834.587032911128,1129410,1353.256108066403
Mecklenburg,NC,North Carolina,1356130079,523.6047508341651,1115482,2130.389379055296
Haywood,NC,North Carolina,1433713844,553.5600099724011,62089,112.1630877980069
Pender,NC,North Carolina,2256645359,871.2956442877262,60203,69.09594968676245
Buncombe,NC,North Carolina,1700318978,656.496827701653,269452,410.43915009205995
Columbus,NC,North Carolina,2429722353,938.1210452738334,50623,53.96211955273146
Cherokee,NC,North Carolina,1179845613,455.5409379852327,28774,63.16446580467982
Surry,NC,North Carolina,1379543658,532.6447842264419,71359,133.97108563380456
Hoke,NC,North Carolina,1010491623,390.1529968799741,52082,133.49122117860446
Lee,NC,North Carolina,660607451,255.06196281341232,63285,248.11618048393763
Swain,NC,North Carolina,1366810476,527.7284751704902,14117,26.7504989103332
Bertie,NC,North Carolina,1810858588,699.1764097326301,17934,25.65017891101058
Transylvania,NC,North Carolina,979943597,378.3583381006332,32986,87.18190318096441
Dare,NC,North Carolina,992558307,383.22890486165204,36915,96.32624139697015
Franklin,NC,North Carolina,1273761673,491.8021314777387,68573,139.43209191459948
Montgomery,NC,North Carolina,1273075626,491.5372472501428,25751,52.38870532001686
Yancey,NC,North Carolina,809610024,312.5921778845541,18470,59.08657127953248
Robeson,NC,North Carolina,2453481924,947.294666924166,116530,123.01346568155925
Stanly,NC,North Carolina,1023250040,395.0790492238978,62504,158.20631370553377
Rutherford,NC,North Carolina,1464476090,565.4373795561556,64444,113.97194867199231
Edgecombe,NC,North Carolina,1309074148,505.4363543004837,48900,96.74808625049708
Chowan,NC,North Carolina,447179939,172.65713972717813,13708,79.39434199860204
Polk,NC,North Carolina,615606322,237.6869297674112,19328,81.31705020092369
Macon,NC,North Carolina,1335344502,515.5793946868737,37014,71.7910769542675
Anson,NC,North Carolina,1376478143,531.4611822677441,22055,41.49879753379418
Burke,NC,North Carolina,1311146879,506.2366402137653,87570,172.98234273011605
Mitchell,NC,North Carolina,573036225,221.2505234242176,14903,67.35803273751148
Nash,NC,North Carolina,1399742831,540.4437285235259,94970,175.72597291387734
Jackson,NC,North Carolina,1271961081,491.1069190197943,43109,87.77925606513898
Madison,NC,North Carolina,1164498325,449.6153169598914,21193,47.13584969324022
Greene,NC,North Carolina,690838977,266.73442025955865,20451,76.67176954552464
Pitt,NC,North Carolina,1689621009,652.3663187781971,170243,260.9622770207458
Henderson,NC,North Carolina,965934305,372.9493202190801,116281,311.78767112832793
Caldwell,NC,North Carolina,1222184251,471.88797750890063,80652,170.9134452328334
Onslow,NC,North Carolina,1973765096,762.0749641202021,204576,268.4460317315085
Forsyth,NC,North Carolina,1056328480,407.85070631077144,382590,938.0638407144907
Wilkes,NC,North Carolina,1952020337,753.6792657322277,65969,87.52927538202691
McDowell,NC,North Carolina,1139476689,439.9544092887747,44578,101.32413508950687
Martin,NC,North Carolina,1182102539,456.4123419856163,22031,48.2699479688792
Davie,NC,North Carolina,682977540,263.69910246421944,42712,161.97248910164745
Jones,NC,North Carolina,1220836958,471.367784773344,9172,19.458266551691334
Currituck,NC,North Carolina,678341928,261.90928266462197,28100,107.28905716557742
Tyrrell,NC,North Carolina,1012106669,390.7765696268004,3245,8.303977905070003
Scotland,NC,North Carolina,826569986,319.14045582240146,34174,107.0813786736505
Bladen,NC,North Carolina,2266321541,875.0316390448604,29606,33.83420516350287
Perquimans,NC,North Carolina,640173980,247.17255555277436,13005,52.61506468999255
Pasquotank,NC,North Carolina,587622471,226.88230449057932,40568,178.80636434422536
Lenoir,NC,North Carolina,1033630013,399.08677920533006,55122,138.12033590729334
Beaufort,NC,North Carolina,2156776424,832.7360329078886,44652,53.62083329584838
Johnston,NC,North Carolina,2051313884,792.016718563237,215999,272.7202531681836
Catawba,NC,North Carolina,1039553245,401.3737518663744,160610,400.15073046797136
Brunswick,NC,North Carolina,2201703879,850.0826202634576,136693,160.7996643404333
Camden,NC,North Carolina,622452109,240.3301029053759,10355,43.08657082411781
Duplin,NC,North Carolina,2110115795,814.7202633297031,48715,59.79352937768517
Cumberland,NC,North Carolina,1690112815,652.5562061364058,334728,512.948918196375
Harnett,NC,North Carolina,1540870386,594.9333821459127,133568,224.5091702842811
Graham,NC,North Carolina,756189029,291.9662164008931,8030,27.50318204272704
Hertford,NC,North Carolina,914689325,353.1635228240488,21552,61.02555503937908
Richmond,NC,North Carolina,1226849523,473.68924909852194,42946,90.66281339872192
Moore,NC,North Carolina,1806983006,697.6800391566277,99727,142.9408817837936
Northampton,NC,North Carolina,1390032558,536.6945711577032,17471,32.55296576284222
Hyde,NC,North Carolina,1585966933,612.3452562876823,4589,7.494138237994399
Chatham,NC,North Carolina,1765540358,681.678943306037,76285,111.90752002699335
Rowan,NC,North Carolina,1325058763,511.60804865625425,146875,287.085006550951
Ashe,NC,North Carolina,1104018852,426.26406188405247,26577,62.34867627013129
Davidson,NC,North Carolina,1432724907,553.178179261989,168930,305.38080917322947
Clay,NC,North Carolina,556804503,214.98342052234364,11089,51.58072177406582
Pamlico,NC,North Carolina,871570771,336.51535604926005,12276,36.47976170871384
Iredell,NC,North Carolina,1487711608,574.4086632119713,186693,325.0177303316638
Alamance,NC,North Carolina,1096735775,423.45205013315683,171415,404.8038023339304
Stokes,NC,North Carolina,1163797562,449.3447508529296,44520,99.077601141426
Yadkin,NC,North Carolina,867496112,334.9421214138315,37214,111.10576311786399
Craven,NC,North Carolina,1830014545,706.5725660802358,100720,142.54728365516897
Gates,NC,North Carolina,882181709,340.6122621157516,10478,30.762251290997916
Alleghany,NC,North Carolina,608220280,234.83516300775605,10888,46.364436486202
Granville,NC,North Carolina,1377850210,531.9909402981776,60992,114.6485689508441
Wayne,NC,North Carolina,1434651139,553.921901595139,117333,211.822279751196
Rockingham,NC,North Carolina,1465005024,565.6416021153086,91096,161.04897457918887
Cleveland,NC,North Carolina,1202400603,464.24946831126573,99519,214.36535051296045
Alexander,NC,North Carolina,673358184,259.9850483483494,36444,140.17729185398895
Avery,NC,North Carolina,640602137,247.33786789469085,17806,71.99059388504662
Durham,NC,North Carolina,742095312,286.52460184460074,324833,1133.7002055278178
Orange,NC,North Carolina,1029673918,397.5593223862329,148696,374.0221688363286
Guilford,NC,North Carolina,1672930669,645.9221424765537,541299,838.025149477901
Randolph,NC,North Carolina,2026242785,782.3367131210498,144171,184.2825443086328
Vance,NC,North Carolina,653701481,252.39555288923702,42578,168.695523802217
Lincoln,NC,North Carolina,766239897,295.8468782314217,86810,293.42881871511315
Washington,NC,North Carolina,897456201,346.509776448356,11003,31.75379382590059
Cabarrus,NC,North Carolina,935587407,361.2323173946926,225804,625.0935731015456
