species1,species2,divergence_time,distance,BMdiff,precdiff,parsim
Alouatta_caraya,Alouatta_guariba,4.569,932.2,388.63,57.512,0.318
Alouatta_caraya,Alouatta_palliata,3.888,3455.9,1000.03,54.883,0.226
Alouatta_caraya,Alouatta_seniculus,2.886,1908.1,821.35,9.534,0.25
Alouatta_caraya,Aotus_trivirgatus,21.321,1496.8,4664.56,27.586,0.154
Alouatta_caraya,Ateles_geoffroyi,14.76,3785.2,2005.44,54.884,0.24
Alouatta_caraya,Ateles_paniscus,14.76,1421.6,3120.29,16.694,0.214
Alouatta_caraya,Callithrix_jacchus,21.321,1739.3,5286.75,3.37,0.125
Alouatta_caraya,Cebus_apella,21.321,1054.6,2818.58,11.398,0.29
Alouatta_caraya,Cebus_capucinus,21.321,3109.3,2570.97,52.879,0.176
Alouatta_caraya,Cercocebus_galeritus,46.812,10701.8,1500.7,2.836,0.001
Alouatta_caraya,Cercopithecus_ascanius,46.812,8933.1,2036.72,0.053,0.063
Alouatta_caraya,Cercopithecus_mitis,46.812,9351.3,535.67,24.428,0.048
Alouatta_caraya,Chlorocebus_aethiops,46.812,10641,1880.97,6.938,0.038
Alouatta_caraya,Colobus_guereza,46.812,9353.8,4348.92,0.07,0.034
Alouatta_caraya,Erythrocebus_patas,46.812,7678.2,2389.34,27.058,0.038
Alouatta_caraya,Eulemur_fulvus,73.003,11429.4,3199.97,49.452,0.001
Alouatta_caraya,Gorilla_gorilla,46.812,7852.7,107012.03,7.212,0.025
Alouatta_caraya,Lophocebus_albigena,46.812,8636,1841.75,2.98,0.1
Alouatta_caraya,Macaca_fascicularis,46.812,17874.3,1007.64,60.492,0.001
Alouatta_caraya,Macaca_fuscata,46.812,15943.4,4537.8,151.928,0.001
Alouatta_caraya,Macaca_nemestrina,46.812,17764.8,2243.82,45.501,0.001
Alouatta_caraya,Macaca_sinica,46.812,15163.2,920.97,68.869,0.001
Alouatta_caraya,Mandrillus_sphinx,46.812,7596.9,11108.1,22.794,0.001
Alouatta_caraya,Pan_troglodytes,46.812,7307.5,39423.04,1.591,0.029
Alouatta_caraya,Papio_anubis,46.812,8240.8,12151.6,18.011,0.037
Alouatta_caraya,Papio_cynocephalus,46.812,9431,10245.19,14.79,0.018
Alouatta_caraya,Papio_hamadryas,46.812,11157.1,8430.12,24.514,0.029
Alouatta_caraya,Papio_ursinus,46.812,8766.4,12152.48,51.929,0.032
Alouatta_caraya,Piliocolobus_badius,46.812,5688.8,2853.44,17.718,0.056
Alouatta_caraya,Pongo_pygmaeus,46.812,18319.9,47831.33,3.195,0.001
Alouatta_caraya,Saguinus_midas,21.321,1378.5,5036.4,14.758,0.214
Alouatta_caraya,Saimiri_oerstedii,21.321,3302.3,4862.78,63.009,0.208
Alouatta_caraya,Saimiri_sciureus,21.321,1203.6,4827.49,14.832,0.174
Alouatta_caraya,Trachypithecus_cristatus,46.812,17805.5,1599.85,46.573,0.001
Alouatta_guariba,Alouatta_palliata,4.569,4382.4,1388.66,2.629,0.32
Alouatta_guariba,Alouatta_seniculus,4.569,2823,1209.98,67.046,0.448
Alouatta_guariba,Aotus_trivirgatus,21.321,2290.9,4275.93,85.098,0.261
Alouatta_guariba,Ateles_geoffroyi,14.76,4706.5,2394.07,2.627,0.238
Alouatta_guariba,Ateles_paniscus,14.76,2021.9,3508.92,74.206,0.24
Alouatta_guariba,Callithrix_jacchus,21.321,1284.4,4898.12,54.142,0.069
Alouatta_guariba,Cebus_apella,21.321,1746.8,2429.95,68.91,0.269
Alouatta_guariba,Cebus_capucinus,21.321,4040.6,2182.34,4.633,0.167
Alouatta_guariba,Cercocebus_galeritus,46.812,9855.9,1889.33,54.676,0.036
Alouatta_guariba,Cercopithecus_ascanius,46.812,8115.8,1648.09,57.565,0.069
Alouatta_guariba,Cercopithecus_mitis,46.812,8471.1,147.04,33.084,0.051
Alouatta_guariba,Chlorocebus_aethiops,46.812,9886.8,1492.34,64.45,0.042
Alouatta_guariba,Colobus_guereza,46.812,8582.8,4737.55,57.442,0.08
Alouatta_guariba,Erythrocebus_patas,46.812,6982.4,2777.97,84.57,0.048
Alouatta_guariba,Eulemur_fulvus,73.003,10522.1,2811.34,8.06,0.001
Alouatta_guariba,Gorilla_gorilla,46.812,7070.9,107400.66,50.3,0.013
Alouatta_guariba,Lophocebus_albigena,46.812,7835.8,2230.38,54.532,0.071
Alouatta_guariba,Macaca_fascicularis,46.812,16962.8,619.01,2.98,0.001
Alouatta_guariba,Macaca_fuscata,46.812,15574.7,4926.43,94.417,0.001
Alouatta_guariba,Macaca_nemestrina,46.812,16838.8,2632.45,12.011,0.001
Alouatta_guariba,Macaca_sinica,46.812,14268.3,532.34,11.357,0.037
Alouatta_guariba,Mandrillus_sphinx,46.812,6816.2,11496.73,34.718,0.037
Alouatta_guariba,Pan_troglodytes,46.812,6561,39811.67,59.103,0.03
Alouatta_guariba,Papio_anubis,46.812,7526,12540.23,75.523,0.039
Alouatta_guariba,Papio_cynocephalus,46.812,8575.1,10633.82,42.722,0.038
Alouatta_guariba,Papio_hamadryas,46.812,10383.3,8818.75,32.998,0.001
Alouatta_guariba,Papio_ursinus,46.812,7841.8,12541.11,5.583,0.034
Alouatta_guariba,Piliocolobus_badius,46.812,5111.2,3242.07,39.794,0.031
Alouatta_guariba,Pongo_pygmaeus,46.812,17436.2,48219.96,54.317,0.001
Alouatta_guariba,Saguinus_midas,21.321,1958,4647.77,72.27,0.24
Alouatta_guariba,Saimiri_oerstedii,21.321,4231.8,4474.15,5.498,0.2
Alouatta_guariba,Saimiri_sciureus,21.321,2036.1,4438.86,72.344,0.159
Alouatta_guariba,Trachypithecus_cristatus,46.812,16877.5,1988.48,10.939,0.001
Alouatta_palliata,Alouatta_seniculus,3.888,1783.7,178.68,64.418,0.439
Alouatta_palliata,Aotus_trivirgatus,21.321,2642.9,5664.59,82.469,0.241
