ID,Royal Mail,Energy,Water,Rail
1308,Public sector,Public sector,Public sector,Public sector
1018,Public sector,Public sector,Public sector,Public sector
1125,Public sector,Public sector,Public sector,Public sector
1004,Public sector,Public sector,Public sector,Public sector
623,Public sector,Public sector,Public sector,Public sector
905,Public sector,Public sector,Public sector,Public sector
645,Public sector,Public sector,Public sector,Public sector
934,Public sector,Public sector,Public sector,Public sector
400,Public sector,Public sector,Public sector,Public sector
900,Public sector,Public sector,Public sector,Public sector
98,Public sector,Public sector,Public sector,Public sector
1127,Public sector,Public sector,Public sector,Public sector
726,Public sector,Public sector,Public sector,Public sector
1626,Private sector,Private sector,Public sector,Public sector
326,Public sector,Public sector,Public sector,Public sector
1103,Public sector,Public sector,Public sector,Public sector
884,Public sector,Public sector,Public sector,Public sector
270,Public sector,Public sector,Public sector,Public sector
1406,Public sector,Public sector,Public sector,Public sector
184,Public sector,Public sector,Public sector,Public sector
574,Public sector,Public sector,Public sector,Public sector
4,Public sector,Public sector,Public sector,Public sector
1685,Private sector,Private sector,Public sector,Public sector
552,Public sector,Public sector,Public sector,Public sector
1236,Public sector,Public sector,Public sector,Public sector
952,Public sector,Public sector,Public sector,Public sector
1219,Public sector,Public sector,Public sector,Public sector
996,Public sector,Public sector,Public sector,Public sector
1535,Public sector,Public sector,Public sector,Public sector
479,Public sector,Public sector,Public sector,Public sector
1629,Private sector,Private sector,Public sector,Public sector
634,Public sector,Public sector,Public sector,Public sector
901,Public sector,Public sector,Public sector,Public sector
578,Public sector,Public sector,Public sector,Public sector
1534,Public sector,Public sector,Public sector,Public sector
1711,Don't know,Private sector,Public sector,Public sector
1448,Public sector,Public sector,Public sector,Public sector
1403,Public sector,Public sector,Public sector,Public sector
1132,Public sector,Public sector,Public sector,Public sector
131,Public sector,Public sector,Public sector,Public sector
1367,Public sector,Public sector,Public sector,Public sector
1065,Public sector,Public sector,Public sector,Public sector
1651,Private sector,Private sector,Public sector,Public sector
1014,Public sector,Public sector,Public sector,Public sector
740,Public sector,Public sector,Public sector,Public sector
298,Public sector,Public sector,Public sector,Public sector
258,Public sector,Public sector,Public sector,Public sector
1653,Private sector,Private sector,Public sector,Public sector
79,Public sector,Public sector,Public sector,Public sector
1206,Public sector,Public sector,Public sector,Public sector
305,Public sector,Public sector,Public sector,Public sector
1382,Public sector,Public sector,Public sector,Public sector
696,Public sector,Public sector,Public sector,Public sector
307,Public sector,Public sector,Public sector,Public sector
902,Public sector,Public sector,Public sector,Public sector
1329,Public sector,Public sector,Public sector,Public sector
1245,Public sector,Public sector,Public sector,Public sector
1760,Don't know,Don't know,Private sector,Private sector
561,Public sector,Public sector,Public sector,Public sector
1337,Public sector,Public sector,Public sector,Public sector
136,Public sector,Public sector,Public sector,Public sector
1169,Public sector,Public sector,Public sector,Public sector
959,Public sector,Public sector,Public sector,Public sector
123,Public sector,Public sector,Public sector,Public sector
1258,Public sector,Public sector,Public sector,Public sector
608,Public sector,Public sector,Public sector,Public sector
495,Public sector,Public sector,Public sector,Public sector
534,Public sector,Public sector,Public sector,Public sector
803,Public sector,Public sector,Public sector,Public sector
1321,Public sector,Public sector,Public sector,Public sector
208,Public sector,Public sector,Public sector,Public sector
1155,Public sector,Public sector,Public sector,Public sector
854,Public sector,Public sector,Public sector,Public sector
569,Public sector,Public sector,Public sector,Public sector
1546,Public sector,Public sector,Public sector,Public sector
951,Public sector,Public sector,Public sector,Public sector
248,Public sector,Public sector,Public sector,Public sector
1389,Public sector,Public sector,Public sector,Public sector
665,Public sector,Public sector,Public sector,Public sector
1667,Private sector,Private sector,Public sector,Public sector
595,Public sector,Public sector,Public sector,Public sector
434,Public sector,Public sector,Public sector,Public sector
757,Public sector,Public sector,Public sector,Public sector
760,Public sector,Public sector,Public sector,Public sector
1242,Public sector,Public sector,Public sector,Public sector
1751,Don't know,Don't know,Private sector,Private sector
1532,Public sector,Public sector,Public sector,Public sector
276,Public sector,Public sector,Public sector,Public sector
169,Public sector,Public sector,Public sector,Public sector
1095,Public sector,Public sector,Public sector,Public sector
573,Public sector,Public sector,Public sector,Public sector
864,Public sector,Public sector,Public sector,Public sector
1844,Don't know,Don't know,Don't know,Don't know
485,Public sector,Public sector,Public sector,Public sector
1691,Private sector,Private sector,Public sector,Public sector
460,Public sector,Public sector,Public sector,Public sector
840,Public sector,Public sector,Public sector,Public sector
60,Public sector,Public sector,Public sector,Public sector
449,Public sector,Public sector,Public sector,Public sector
548,Public sector,Public sector,Public sector,Public sector
1043,Public sector,Public sector,Public sector,Public sector
1673,Private sector,Private sector,Public sector,Public sector
638,Public sector,Public sector,Public sector,Public sector
1694,Private sector,Private sector,Public sector,Public sector
319,Public sector,Public sector,Public sector,Public sector
1140,Public sector,Public sector,Public sector,Public sector
145,Public sector,Public sector,Public sector,Public sector
102,Public sector,Public sector,Public sector,Public sector
214,Public sector,Public sector,Public sector,Public sector
390,Public sector,Public sector,Public sector,Public sector
1621,Private sector,Private sector,Public sector,Public sector
597,Public sector,Public sector,Public sector,Public sector
160,Public sector,Public sector,Public sector,Public sector
1101,Public sector,Public sector,Public sector,Public sector
529,Public sector,Public sector,Public sector,Public sector
126,Public sector,Public sector,Public sector,Public sector
262,Public sector,Public sector,Public sector,Public sector
442,Public sector,Public sector,Public sector,Public sector
1666,Private sector,Private sector,Public sector,Public sector
181,Public sector,Public sector,Public sector,Public sector
976,Public sector,Public sector,Public sector,Public sector
779,Public sector,Public sector,Public sector,Public sector
828,Public sector,Public sector,Public sector,Public sector
868,Public sector,Public sector,Public sector,Public sector
163,Public sector,Public sector,Public sector,Public sector
1498,Public sector,Public sector,Public sector,Public sector
228,Public sector,Public sector,Public sector,Public sector
789,Public sector,Public sector,Public sector,Public sector
938,Public sector,Public sector,Public sector,Public sector
1773,Don't know,Don't know,Private sector,Private sector
646,Public sector,Public sector,Public sector,Public sector
1289,Public sector,Public sector,Public sector,Public sector
427,Public sector,Public sector,Public sector,Public sector
1758,Don't know,Don't know,Private sector,Private sector
1273,Public sector,Public sector,Public sector,Public sector
1791,Don't know,Don't know,Private sector,Private sector
40,Public sector,Public sector,Public sector,Public sector
1565,Public sector,Public sector,Public sector,Public sector
1521,Public sector,Public sector,Public sector,Public sector
877,Public sector,Public sector,Public sector,Public sector
1850,Don't know,Don't know,Don't know,Don't know
1474,Public sector,Public sector,Public sector,Public sector
806,Public sector,Public sector,Public sector,Public sector
1624,Private sector,Private sector,Public sector,Public sector
670,Public sector,Public sector,Public sector,Public sector
1387,Public sector,Public sector,Public sector,Public sector
838,Public sector,Public sector,Public sector,Public sector
478,Public sector,Public sector,Public sector,Public sector
1427,Public sector,Public sector,Public sector,Public sector
1399,Public sector,Public sector,Public sector,Public sector
