season,title,year,month,day,av_rating,genre_1,genre_2,genre_3
1,11.22.63,2016,3,10,8.489,Drama,Mystery,Sci-Fi
1,12 Monkeys,2015,2,27,8.3407,Adventure,Drama,Mystery
2,12 Monkeys,2016,5,30,8.8196,Adventure,Drama,Mystery
3,12 Monkeys,2017,5,19,9.0369,Adventure,Drama,Mystery
4,12 Monkeys,2018,6,26,9.1363,Adventure,Drama,Mystery
1,13 Reasons Why,2017,3,31,8.437,Drama,Mystery,NA
2,13 Reasons Why,2018,5,18,7.5089,Drama,Mystery,NA
1,24,2002,2,16,8.5641,Action,Crime,Drama
2,24,2003,2,9,8.7028,Action,Crime,Drama
3,24,2004,2,9,8.7173,Action,Crime,Drama
4,24,2005,3,8,8.561,Action,Crime,Drama
5,24,2006,3,10,8.7828,Action,Crime,Drama
6,24,2007,3,8,8.3522,Action,Crime,Drama
7,24,2009,3,10,8.4922,Action,Crime,Drama
8,24,2010,3,17,8.4744,Action,Crime,Drama
1,24: Legacy,2017,3,5,7.2044,Action,Crime,Drama
1,24: Live Another Day,2014,6,6,8.899,Action,Crime,Drama
1,666 Park Avenue,2013,1,13,7.4737,Drama,Fantasy,Mystery
1,7th Heaven,1996,8,26,7.7,Drama,Family,Romance
10,7th Heaven,2006,5,8,6.3,Drama,Family,Romance
1,8 Simple Rules,2002,9,17,7.5,Comedy,Drama,NA
2,8 Simple Rules,2003,11,4,8.6,Comedy,Drama,NA
3,8 Simple Rules,2004,11,12,8.4043,Comedy,Drama,NA
1,9-1-1,2018,2,9,8.2746,Action,Drama,Thriller
1,90210,2009,1,3,7.1735,Comedy,Drama,Romance
2,90210,2009,11,10,7.4686,Comedy,Drama,Romance
3,90210,2010,12,4,7.6858,Comedy,Drama,Romance
4,90210,2011,12,1,6.8344,Comedy,Drama,Romance
5,90210,2013,1,24,7.653,Comedy,Drama,Romance
1,A Discovery of Witches,2018,9,24,8.8345,Drama,Fantasy,Romance
1,A Gifted Man,2011,9,23,7.5,Drama,Fantasy,NA
1,A Nero Wolfe Mystery,2001,4,29,8.5,Action,Drama,Mystery
1,A Series of Unfortunate Events,2017,1,13,8.1052,Adventure,Comedy,Drama
2,A Series of Unfortunate Events,2018,3,30,8.2873,Adventure,Comedy,Drama
1,A.D. The Bible Continues,2015,4,19,8.0788,Drama,NA,NA
25,ABC Afterschool Specials,1996,9,12,3.3,Adventure,Comedy,Drama
1,APB,2017,3,15,7.5427,Crime,Drama,NA
1,About a Boy,2014,3,28,7.6627,Comedy,Drama,Romance
1,Absentia,2017,11,2,8.0752,Crime,Drama,Mystery
1,Agatha Christie's Marple,2005,1,23,7.2669,Crime,Drama,Mystery
2,Agatha Christie's Marple,2006,3,3,7.1339,Crime,Drama,Mystery
3,Agatha Christie's Marple,2008,3,27,7.1943,Crime,Drama,Mystery
4,Agatha Christie's Marple,2009,7,15,7.0746,Crime,Drama,Mystery
5,Agatha Christie's Marple,2010,9,19,7.3715,Crime,Drama,Mystery
6,Agatha Christie's Marple,2014,9,23,7.316,Crime,Drama,Mystery
1,Agent X,2015,12,2,7.6673,Action,Drama,NA
1,Agents of S.H.I.E.L.D.,2014,1,15,8.1977,Action,Adventure,Drama
2,Agents of S.H.I.E.L.D.,2015,1,25,8.653,Action,Adventure,Drama
3,Agents of S.H.I.E.L.D.,2016,1,30,8.7249,Action,Adventure,Drama
4,Agents of S.H.I.E.L.D.,2017,1,22,8.84,Action,Adventure,Drama
5,Agents of S.H.I.E.L.D.,2018,2,22,8.8967,Action,Adventure,Drama
1,Agents of S.H.I.E.L.D.: Slingshot,2016,12,13,7.5153,Action,Adventure,Drama
1,Alcatraz,2012,2,20,7.7857,Action,Crime,Drama
1,Alias,2002,1,9,7.9015,Action,Drama,Mystery
2,Alias,2003,1,19,7.482,Action,Drama,Mystery
3,Alias,2004,1,21,7.3894,Action,Drama,Mystery
4,Alias,2005,3,21,7.9627,Action,Drama,Mystery
5,Alias,2006,2,3,7.5359,Action,Drama,Mystery
1,Alias Grace,2017,11,3,8.0869,Biography,Crime,Drama
1,Alice,2009,12,6,7.5523,Adventure,Drama,Fantasy
1,All My Children,2007,6,8,7.4,Drama,Mystery,Romance
1,Allegiance,2015,2,26,7.3705,Drama,Thriller,NA
1,Ally McBeal,1997,11,13,7.4472,Comedy,Drama,Fantasy
2,Ally McBeal,1999,2,8,8,Comedy,Drama,Fantasy
3,Ally McBeal,2000,4,24,7.8437,Comedy,Drama,Fantasy
4,Ally McBeal,2001,5,10,8.2,Comedy,Drama,Fantasy
5,Ally McBeal,2002,5,20,7.9,Comedy,Drama,Fantasy
1,Almost Human,2013,12,28,8.3369,Action,Crime,Drama
1,Alpha House,2013,8,2,7.1,Comedy,Drama,NA
1,Alphas,2011,8,16,7.6436,Action,Drama,Sci-Fi
2,Alphas,2012,9,6,7.8699,Action,Drama,Sci-Fi
1,Altered Carbon,2018,2,2,8.2753,Action,Drama,Sci-Fi
1,American Crime,2015,4,9,8.7698,Crime,Drama,NA
2,American Crime,2016,2,3,9.1438,Crime,Drama,NA
3,American Crime,2017,4,2,8.9608,Crime,Drama,NA
1,American Crime Story,2016,3,4,8.7267,Biography,Crime,Drama
2,American Crime Story,2018,2,11,8.394,Biography,Crime,Drama
1,American Gods,2017,5,24,8.0975,Drama,Fantasy,Mystery
1,American Gothic,1995,9,22,7.8,Drama,Horror,Thriller
1,American Gothic,2016,8,5,7.535,Crime,Drama,Mystery
1,American Horror Story,2011,11,12,8.2659,Drama,Horror,Thriller
2,American Horror Story,2012,12,2,8.5388,Drama,Horror,Thriller
3,American Horror Story,2013,11,29,8.1845,Drama,Horror,Thriller
4,American Horror Story,2014,11,25,8.2265,Drama,Horror,Thriller
5,American Horror Story,2015,11,19,7.8947,Drama,Horror,Thriller
6,American Horror Story,2016,10,15,7.8932,Drama,Horror,Thriller
7,American Horror Story,2017,10,10,7.4122,Drama,Horror,Thriller
8,American Horror Story,2018,9,26,8.6163,Drama,Horror,Thriller
1,American Odyssey,2015,5,17,7.8294,Action,Drama,Thriller
9,American Playhouse,1990,3,7,7.9,Comedy,Drama,Romance
10,American Playhouse,1991,3,15,8.4,Comedy,Drama,Romance
11,American Playhouse,1993,10,6,7.6,Comedy,Drama,Romance
1,American Vandal,2017,9,15,8.1528,Comedy,Crime,Drama
2,American Vandal,2018,9,14,8.2,Comedy,Crime,Drama
1,And Then There Were None,2015,12,27,8.4921,Crime,Drama,Mystery
1,Andromeda,2001,1,12,7.3562,Action,Adventure,Drama
2,Andromeda,2002,1,1,7.6018,Action,Adventure,Drama
3,Andromeda,2003,2,28,7.696,Action,Adventure,Drama
1,Angel,2000,1,28,8.505,Action,Drama,Fantasy
2,Angel,2001,1,14,8.6229,Action,Drama,Fantasy
3,Angel,2002,1,5,7.736,Action,Drama,Fantasy
4,Angel,2003,1,29,8.0542,Action,Drama,Fantasy
5,Angel,2004,1,23,8.8922,Action,Drama,Fantasy
1,Angels in America,2003,12,7,8.4,Drama,Fantasy,Romance
1,Animal Kingdom,2016,7,12,8.5823,Crime,Drama,NA
2,Animal Kingdom,2017,7,15,8.6925,Crime,Drama,NA
3,Animal Kingdom,2018,7,10,8.6392,Crime,Drama,NA
1,Aquarius,2015,6,23,7.5292,Biography,Crime,Drama
2,Aquarius,2016,7,25,7.8702,Biography,Crime,Drama
1,Are You Afraid of the Dark?,1993,4,17,9.1736,Drama,Family,Fantasy
2,Are You Afraid of the Dark?,1993,8,10,9.235,Drama,Family,Fantasy
3,Are You Afraid of the Dark?,1994,2,23,9.4349,Drama,Family,Fantasy
4,Are You Afraid of the Dark?,1994,11,18,9.3097,Drama,Family,Fantasy
5,Are You Afraid of the Dark?,1995,12,15,8.9533,Drama,Family,Fantasy
6,Are You Afraid of the Dark?,1999,3,22,6.0237,Drama,Family,Fantasy
7,Are You Afraid of the Dark?,2000,4,24,6.8306,Drama,Family,Fantasy
1,Arrow: Blood Rush,2013,11,6,7.9,Action,Drama,Sci-Fi
1,Ascension,2014,12,16,7.4302,Drama,Sci-Fi,NA
1,Atlanta,2016,10,1,8.5587,Comedy,Drama,Music
2,Atlanta,2018,4,5,8.896,Comedy,Drama,Music
1,Atypical,2017,8,11,8.3326,Comedy,Drama,NA
2,Atypical,2018,9,7,8.4773,Comedy,Drama,NA
1,Awake,2012,4,10,8.2757,Drama,Fantasy,Mystery
1,Awkward.,2011,8,25,7.8303,Comedy,Drama,Romance
2,Awkward.,2012,8,6,7.7692,Comedy,Drama,Romance
3,Awkward.,2013,8,15,7.8434,Comedy,Drama,Romance
4,Awkward.,2014,7,18,7.9692,Comedy,Drama,Romance
5,Awkward.,2016,1,11,7.8689,Comedy,Drama,Romance
1,Baby Daddy,2012,7,27,8.0329,Comedy,Drama,Family
